title,description,start_date,end_date,status,client,project_manager
프로젝트 25번,25번 프로젝트에 대한 설명입니다.,2025-05-18,2025-07-29,완료,클라이언트 25,685df192a2cd54b0683ea344
프로젝트 26번,26번 프로젝트에 대한 설명입니다.,2025-03-13,2025-04-19,진행 대기,클라이언트 26,685df192a2cd54b0683ea358
프로젝트 27번,27번 프로젝트에 대한 설명입니다.,2025-05-03,2025-07-19,완료,클라이언트 27,685df192a2cd54b0683ea344
프로젝트 28번,28번 프로젝트에 대한 설명입니다.,2025-06-25,2025-09-18,진행 대기,클라이언트 28,685df192a2cd54b0683ea353
프로젝트 29번,29번 프로젝트에 대한 설명입니다.,2025-01-18,2025-04-06,진행중,클라이언트 29,685df192a2cd54b0683ea394
프로젝트 30번,30번 프로젝트에 대한 설명입니다.,2025-06-26,2025-08-13,진행 대기,클라이언트 30,685df192a2cd54b0683ea39f
프로젝트 31번,31번 프로젝트에 대한 설명입니다.,2025-03-07,2025-05-27,진행중,클라이언트 31,685df192a2cd54b0683ea36a
프로젝트 32번,32번 프로젝트에 대한 설명입니다.,2025-04-01,2025-06-06,진행 대기,클라이언트 32,685df192a2cd54b0683ea353
프로젝트 33번,33번 프로젝트에 대한 설명입니다.,2025-06-09,2025-08-21,완료,클라이언트 33,685df192a2cd54b0683ea394
프로젝트 34번,34번 프로젝트에 대한 설명입니다.,2025-01-21,2025-02-26,진행 대기,클라이언트 34,685df192a2cd54b0683ea363
프로젝트 35번,35번 프로젝트에 대한 설명입니다.,2025-02-04,2025-03-08,진행 대기,클라이언트 35,685df192a2cd54b0683ea353
프로젝트 36번,36번 프로젝트에 대한 설명입니다.,2025-05-10,2025-06-20,완료,클라이언트 36,685cc3fc7163cce7db1fd18f
프로젝트 37번,37번 프로젝트에 대한 설명입니다.,2025-01-13,2025-03-05,진행 대기,클라이언트 37,685df192a2cd54b0683ea393
프로젝트 38번,38번 프로젝트에 대한 설명입니다.,2025-02-23,2025-04-24,완료,클라이언트 38,685df192a2cd54b0683ea35a
프로젝트 39번,39번 프로젝트에 대한 설명입니다.,2025-03-24,2025-06-01,완료,클라이언트 39,685df192a2cd54b0683ea392
프로젝트 40번,40번 프로젝트에 대한 설명입니다.,2025-02-27,2025-04-17,완료,클라이언트 40,685df192a2cd54b0683ea39f
프로젝트 41번,41번 프로젝트에 대한 설명입니다.,2025-06-05,2025-07-22,완료,클라이언트 41,685df192a2cd54b0683ea36a
프로젝트 42번,42번 프로젝트에 대한 설명입니다.,2025-06-06,2025-08-05,완료,클라이언트 42,685df192a2cd54b0683ea380
프로젝트 43번,43번 프로젝트에 대한 설명입니다.,2025-03-23,2025-06-19,진행중,클라이언트 43,6853aebf690a71fa9ad4b6e3
프로젝트 44번,44번 프로젝트에 대한 설명입니다.,2025-03-18,2025-04-23,진행중,클라이언트 44,685df192a2cd54b0683ea35b
프로젝트 45번,45번 프로젝트에 대한 설명입니다.,2025-06-29,2025-08-30,진행 대기,클라이언트 45,685df192a2cd54b0683ea363
프로젝트 46번,46번 프로젝트에 대한 설명입니다.,2025-05-19,2025-07-19,진행중,클라이언트 46,685cc3fc7163cce7db1fd18f
프로젝트 47번,47번 프로젝트에 대한 설명입니다.,2025-01-31,2025-04-08,진행 대기,클라이언트 47,685df192a2cd54b0683ea39b
프로젝트 48번,48번 프로젝트에 대한 설명입니다.,2025-03-15,2025-04-19,진행중,클라이언트 48,685df192a2cd54b0683ea36a
프로젝트 49번,49번 프로젝트에 대한 설명입니다.,2025-01-04,2025-02-09,진행 대기,클라이언트 49,685df192a2cd54b0683ea353
프로젝트 50번,50번 프로젝트에 대한 설명입니다.,2025-02-17,2025-03-22,진행중,클라이언트 50,685df192a2cd54b0683ea394
프로젝트 51번,51번 프로젝트에 대한 설명입니다.,2025-05-23,2025-06-25,완료,클라이언트 51,685cc3fc7163cce7db1fd18f
프로젝트 52번,52번 프로젝트에 대한 설명입니다.,2025-03-10,2025-06-05,진행중,클라이언트 52,685df192a2cd54b0683ea391
프로젝트 53번,53번 프로젝트에 대한 설명입니다.,2025-03-13,2025-06-05,진행 대기,클라이언트 53,685df192a2cd54b0683ea392
프로젝트 54번,54번 프로젝트에 대한 설명입니다.,2025-01-05,2025-02-15,진행중,클라이언트 54,685df192a2cd54b0683ea35a
프로젝트 55번,55번 프로젝트에 대한 설명입니다.,2025-06-01,2025-07-08,완료,클라이언트 55,685df192a2cd54b0683ea344
프로젝트 56번,56번 프로젝트에 대한 설명입니다.,2025-04-29,2025-05-31,완료,클라이언트 56,685df192a2cd54b0683ea356
프로젝트 57번,57번 프로젝트에 대한 설명입니다.,2025-03-13,2025-04-13,완료,클라이언트 57,685df192a2cd54b0683ea380
프로젝트 58번,58번 프로젝트에 대한 설명입니다.,2025-06-09,2025-08-18,진행중,클라이언트 58,685df192a2cd54b0683ea34c
프로젝트 59번,59번 프로젝트에 대한 설명입니다.,2025-03-08,2025-05-23,진행 대기,클라이언트 59,685df192a2cd54b0683ea35a
프로젝트 60번,60번 프로젝트에 대한 설명입니다.,2025-01-06,2025-02-20,진행중,클라이언트 60,685df192a2cd54b0683ea391
프로젝트 61번,61번 프로젝트에 대한 설명입니다.,2025-03-24,2025-05-27,완료,클라이언트 61,685df192a2cd54b0683ea380
프로젝트 62번,62번 프로젝트에 대한 설명입니다.,2025-06-28,2025-09-25,진행 대기,클라이언트 62,685df192a2cd54b0683ea356
프로젝트 63번,63번 프로젝트에 대한 설명입니다.,2025-06-03,2025-07-22,완료,클라이언트 63,685df192a2cd54b0683ea363
프로젝트 64번,64번 프로젝트에 대한 설명입니다.,2025-02-25,2025-04-21,완료,클라이언트 64,685df192a2cd54b0683ea35a
프로젝트 65번,65번 프로젝트에 대한 설명입니다.,2025-03-26,2025-04-27,진행중,클라이언트 65,685df192a2cd54b0683ea36a
프로젝트 66번,66번 프로젝트에 대한 설명입니다.,2025-02-28,2025-05-01,완료,클라이언트 66,685df192a2cd54b0683ea363
프로젝트 67번,67번 프로젝트에 대한 설명입니다.,2025-06-01,2025-07-18,진행 대기,클라이언트 67,685df192a2cd54b0683ea36a
프로젝트 68번,68번 프로젝트에 대한 설명입니다.,2025-03-17,2025-06-14,진행중,클라이언트 68,685df192a2cd54b0683ea363
프로젝트 69번,69번 프로젝트에 대한 설명입니다.,2025-01-08,2025-02-12,완료,클라이언트 69,685df192a2cd54b0683ea393
프로젝트 70번,70번 프로젝트에 대한 설명입니다.,2025-04-10,2025-06-11,완료,클라이언트 70,685df192a2cd54b0683ea36a
프로젝트 71번,71번 프로젝트에 대한 설명입니다.,2025-06-29,2025-08-30,진행중,클라이언트 71,685df192a2cd54b0683ea393
프로젝트 72번,72번 프로젝트에 대한 설명입니다.,2025-02-15,2025-03-19,진행 대기,클라이언트 72,685df192a2cd54b0683ea369
프로젝트 73번,73번 프로젝트에 대한 설명입니다.,2025-05-23,2025-08-04,완료,클라이언트 73,685df192a2cd54b0683ea393
프로젝트 74번,74번 프로젝트에 대한 설명입니다.,2025-03-13,2025-05-27,진행 대기,클라이언트 74,685df192a2cd54b0683ea34c
프로젝트 75번,75번 프로젝트에 대한 설명입니다.,2025-03-18,2025-06-08,완료,클라이언트 75,685df192a2cd54b0683ea344
프로젝트 76번,76번 프로젝트에 대한 설명입니다.,2025-04-09,2025-06-27,진행중,클라이언트 76,685df192a2cd54b0683ea37f
프로젝트 77번,77번 프로젝트에 대한 설명입니다.,2025-03-22,2025-06-11,진행 대기,클라이언트 77,685df192a2cd54b0683ea391
프로젝트 78번,78번 프로젝트에 대한 설명입니다.,2025-05-15,2025-07-04,진행중,클라이언트 78,685df192a2cd54b0683ea380
프로젝트 79번,79번 프로젝트에 대한 설명입니다.,2025-01-12,2025-03-18,진행 대기,클라이언트 79,685df192a2cd54b0683ea34c
프로젝트 80번,80번 프로젝트에 대한 설명입니다.,2025-03-10,2025-04-14,진행중,클라이언트 80,685df192a2cd54b0683ea353
프로젝트 81번,81번 프로젝트에 대한 설명입니다.,2025-04-14,2025-07-13,진행 대기,클라이언트 81,685df192a2cd54b0683ea369
프로젝트 82번,82번 프로젝트에 대한 설명입니다.,2025-01-31,2025-04-15,진행 대기,클라이언트 82,685df192a2cd54b0683ea37f
프로젝트 83번,83번 프로젝트에 대한 설명입니다.,2025-06-24,2025-08-01,완료,클라이언트 83,685df192a2cd54b0683ea34c
프로젝트 84번,84번 프로젝트에 대한 설명입니다.,2025-04-29,2025-06-30,완료,클라이언트 84,685df192a2cd54b0683ea353
프로젝트 85번,85번 프로젝트에 대한 설명입니다.,2025-01-06,2025-02-16,진행중,클라이언트 85,685df192a2cd54b0683ea380
프로젝트 86번,86번 프로젝트에 대한 설명입니다.,2025-03-31,2025-05-04,완료,클라이언트 86,685df192a2cd54b0683ea363
프로젝트 87번,87번 프로젝트에 대한 설명입니다.,2025-03-27,2025-05-10,진행 대기,클라이언트 87,685df192a2cd54b0683ea39f
프로젝트 88번,88번 프로젝트에 대한 설명입니다.,2025-04-27,2025-06-15,진행 대기,클라이언트 88,685df192a2cd54b0683ea394
프로젝트 89번,89번 프로젝트에 대한 설명입니다.,2025-02-17,2025-05-11,진행중,클라이언트 89,685df192a2cd54b0683ea363
프로젝트 90번,90번 프로젝트에 대한 설명입니다.,2025-02-25,2025-05-02,진행 대기,클라이언트 90,685df192a2cd54b0683ea393
프로젝트 91번,91번 프로젝트에 대한 설명입니다.,2025-02-07,2025-04-08,진행 대기,클라이언트 91,685df192a2cd54b0683ea36a
프로젝트 92번,92번 프로젝트에 대한 설명입니다.,2025-06-15,2025-08-07,완료,클라이언트 92,685df192a2cd54b0683ea39b
프로젝트 93번,93번 프로젝트에 대한 설명입니다.,2025-01-14,2025-02-16,진행중,클라이언트 93,685df192a2cd54b0683ea394
프로젝트 94번,94번 프로젝트에 대한 설명입니다.,2025-02-17,2025-04-10,진행중,클라이언트 94,685df192a2cd54b0683ea39f
프로젝트 95번,95번 프로젝트에 대한 설명입니다.,2025-01-09,2025-02-16,완료,클라이언트 95,685df192a2cd54b0683ea394
프로젝트 96번,96번 프로젝트에 대한 설명입니다.,2025-01-05,2025-03-30,진행중,클라이언트 96,685df192a2cd54b0683ea380
프로젝트 97번,97번 프로젝트에 대한 설명입니다.,2025-01-12,2025-04-03,진행중,클라이언트 97,685df192a2cd54b0683ea369
프로젝트 98번,98번 프로젝트에 대한 설명입니다.,2025-02-10,2025-04-11,진행 대기,클라이언트 98,685df192a2cd54b0683ea35b
프로젝트 99번,99번 프로젝트에 대한 설명입니다.,2025-02-15,2025-04-13,완료,클라이언트 99,685df192a2cd54b0683ea356
프로젝트 100번,100번 프로젝트에 대한 설명입니다.,2025-04-14,2025-05-30,진행중,클라이언트 100,685df192a2cd54b0683ea39b
